Date,Q cms,SP,w_est,unit_SP
2017-02-02,0.85516736,58.7243426112,13.6734889977416,4.29475919576192
2017-01-13,0.849504,58.33543968,13.6442652572843,4.27545482149405
2017-12-03,0.84667232,58.1409882144,13.6296038329772,4.26578710040906
2015-11-07,0.83817728,57.5576338176,13.5854191071908,4.23672124970621
2015-11-09,0.83817728,57.5576338176,13.5854191071908,4.23672124970621
2017-02-03,0.83817728,57.5576338176,13.5854191071908,4.23672124970621
2017-02-04,0.83817728,57.5576338176,13.5854191071908,4.23672124970621
2017-12-04,0.83251392,57.1687308864,13.5557936816913,4.21729130944306
2015-11-08,0.82685056,56.7798279552,13.5260312994637,4.19781876132813
2017-02-05,0.82401888,56.5853764896,13.5110982576623,4.18806638886737
2017-03-29,0.81835552,56.1964735584,13.4811274729633,4.16852920285067
2017-12-05,0.81552384,56.0020220928,13.4660893246174,4.15874429040232
2018-04-04,0.81552384,56.0020220928,13.4660893246174,4.15874429040232
2017-12-06,0.79853376,54.8353132992,13.3751087780045,4.09980316491911
2017-12-07,0.79003872,54.2519589024,13.3291256926153,4.07018135724065
2017-11-12,0.78720704,54.0575074368,13.3137235279641,4.06028466215763
2017-01-12,0.78437536,53.8630559712,13.2982837538085,4.05037649732615
2017-03-30,0.78154368,53.6686045056,13.2828061420388,4.04045680797404
2017-12-08,0.77588032,53.2797015744,13.2517364821096,4.02058263430833
2017-01-09,0.77021696,52.8907986432,13.2205126784421,4.00066169366079
2016-01-05,0.76738528,52.6963471776,13.2048423783491,3.9906835437886
2017-12-09,0.7645536,52.501895712,13.1891328243916,3.98069353088208
2015-11-06,0.75322688,51.7240898496,13.1258971479286,3.94061367894861
2017-12-10,0.74756352,51.3351869184,13.0940373184252,3.92050103952001
2016-11-06,0.74190016,50.9462839872,13.0620134221582,3.90033927700423
2017-12-11,0.73340512,50.3629295904,13.013665331546,3.87000343925526
2018-04-05,0.72774176,49.9740266592,12.9812219545046,3.84971667800955
2017-12-12,0.7220784,49.585123728,12.9486069429054,3.82937901711256
2017-03-31,0.71358336,49.0017693312,12.8993576431159,3.7987759303155
2016-11-25,0.68526656,47.0572546752,12.7322646659471,3.69590610231787
2017-04-01,0.68243488,46.8628032096,12.7152996013751,3.68554455488661
2018-04-06,0.67677152,46.4739002784,12.6812257531155,3.6647798235894
2015-12-03,0.65694976,45.1127400192,12.5604222928669,3.59165790507056
2018-04-07,0.65694976,45.1127400192,12.5604222928669,3.59165790507056
2017-04-02,0.64845472,44.5293856224,12.5078923615021,3.56010304017777
2018-01-13,0.64279136,44.1404826912,12.4726126735541,3.53899249872417
2017-01-14,0.63995968,43.9460312256,12.4548937579751,3.52841478053241
2015-11-13,0.63429632,43.5571282944,12.4192958188035,3.5072140103509
2017-01-11,0.62013792,42.5848709664,12.3293481136911,3.4539434342933
2017-04-03,0.62013792,42.5848709664,12.3293481136911,3.4539434342933
2016-02-03,0.61730624,42.3904195008,12.3111918979086,3.44324252698889
2017-12-13,0.61730624,42.3904195008,12.3111918979086,3.44324252698889
2016-01-08,0.6088112,41.807065104,12.2563821590771,3.41104451226968
2018-04-08,0.60597952,41.6126136384,12.2379970706946,3.40027975150006
2016-03-07,0.60314784,41.4181621728,12.2195536415746,3.38949878102608
2016-03-06,0.58615776,40.2514533792,12.107641718851,3.32446683787565
2017-04-04,0.58615776,40.2514533792,12.107641718851,3.32446683787565
2016-02-04,0.57766272,39.6680989824,12.0508595200754,3.2917236248848
2017-01-10,0.566336,38.89029312,11.9742623336618,3.2478237102483
2017-04-05,0.56350432,38.6958416544,11.9549510024473,3.2368047051367
2018-04-09,0.56067264,38.5013901888,11.9355737642666,3.22576785575802
2017-01-15,0.55784096,38.3069387232,11.9161300596129,3.21471304287229
2016-03-08,0.55500928,38.1124872576,11.8966193213599,3.20364014583292
2017-04-06,0.5521776,37.918035792,11.8770409746192,3.19254904256282
2018-01-14,0.5521776,37.918035792,11.8770409746192,3.19254904256282
2017-04-08,0.5380192,36.945778464,11.7781144303643,3.13681605680048
2017-04-07,0.53518752,36.7513269984,11.7581179064169,3.1256130692773
2017-11-11,0.53235584,36.5568755328,11.7380495196386,3.11439097881105
2016-03-09,0.52952416,36.3624240672,11.7179086274516,3.10314965095509
2016-03-14,0.52669248,36.1679726016,11.6976945780585,3.09188894959188
2016-11-26,0.5238608,35.973521136,11.6774067102607,3.0806087369031
2018-04-10,0.52102912,35.7790696704,11.6570443532702,3.06930887333913
2017-04-09,0.51253408,35.1957152736,11.5955034913628,3.03528995526728
2015-11-05,0.5097024,35.001263808,11.5748362711184,3.02391005696862
2017-01-16,0.50403904,34.6123608768,11.5332671165084,3.00108898260552
