Date,Q cms,SP,w_est,unit_SP
2017-03-06,5.4368256,480.017332224,33.4955103776727,14.3307961816867
2018-03-02,5.1253408,452.516339232,32.8729436808767,13.765616600233
2017-03-07,5.0120736,442.515978144,32.6401621503913,13.5574074695182
2017-03-08,4.9837568,440.015887872,32.5814071676313,13.5051222805731
2016-01-06,4.7855392,422.515255968,32.1636095194322,13.1364378028756
2017-02-14,4.7005888,415.014985152,31.98093678018,12.9769489869729
2016-02-01,4.4740544,395.014262976,31.4825399063819,12.5470900426279
2017-02-04,4.389104,387.51399216,31.2912050783129,12.3841185147764
2017-01-27,4.3607872,385.013901888,31.2268658907544,12.3295723379654
2017-03-09,4.3607872,385.013901888,31.2268658907544,12.3295723379654
2017-02-15,4.0209856,355.012818624,30.4315800693611,11.6659344606766
2017-01-09,3.964352,350.01263808,30.2946210410266,11.5536232523257
2018-03-26,3.964352,350.01263808,30.2946210410266,11.5536232523257
2016-12-24,3.8794016,342.512367264,30.0866579911944,11.3841945278284
2017-03-10,3.8510848,340.012276992,30.016647266246,11.3274568600587
2017-01-28,3.7944512,335.012096448,29.875565512235,11.213581758337
2017-01-29,3.6528672,322.511645088,29.5164645370554,10.9264998415754
2017-02-16,3.5112832,310.011193728,29.1477411967077,10.6358565363897
2017-03-11,3.4263328,302.510922912,28.9216160709554,10.4596825491988
2017-01-11,3.3696992,297.510742368,28.768733463555,10.341461251497
2017-01-30,3.2847488,290.010471552,28.5360889092741,10.1629369208248
2017-01-19,3.1714816,280.010110464,28.2194236861839,9.92260201972487
2017-02-05,3.1714816,280.010110464,28.2194236861839,9.92260201972487
2017-03-12,3.114848,275.00992992,28.0581920013648,9.80141307417894
2018-03-27,3.0582144,270.009749376,27.8949484471857,9.67952136162636
2017-02-03,3.0298976,267.509659104,27.8125526324356,9.61830662001247
2018-03-15,2.9166304,257.509298016,27.4776157702072,9.37160269542767
2017-01-31,2.8883136,255.009207744,27.3924995697993,9.30945374642451
2017-03-13,2.83168,250.0090272,27.2205445385213,9.18457111856079
2016-03-06,2.82035328,249.0089910912,27.1858726718045,9.15949964517626
2017-01-13,2.76655136,244.2588195744,27.0198715529915,9.03996967918069
2017-02-01,2.73823456,241.7587293024,26.9316168752831,8.976762532378
2016-01-07,2.7184128,240.008666112,26.8694675823333,8.93239381750184
2017-03-14,2.69859104,238.2586029216,26.8070084526894,8.88792210224028
2017-02-02,2.68443264,237.0085577856,26.762202969937,8.85609297754151
2017-03-22,2.65328416,234.2584584864,26.663060540967,8.78588030531863
2017-03-15,2.61647232,231.0083411328,26.5448634566478,8.70256279562616
2017-01-12,2.61080896,230.5083230784,26.526578814635,8.68971172985286
2017-03-16,2.51453184,222.0080161536,26.2115155147163,8.46986569811099
2018-03-28,2.5060368,221.257989072,26.1833233437352,8.45034017138775
2016-01-05,2.45506656,216.7578265824,26.0127868230101,8.33274143432656
2017-03-21,2.4494032,216.257808528,25.9936897489255,8.31962721017471
2017-03-17,2.4352448,215.007763392,25.945814954508,8.28679938437021
2017-03-23,2.3927696,211.257627984,25.8010417984041,8.18794952679265
2017-03-18,2.33330432,206.0074384128,25.5953847468682,8.04861659436498
2017-03-19,2.23985888,197.7571405152,25.2648620131057,7.827358820033
2017-03-24,2.17473024,192.0069328896,25.0288950273118,7.67141069072686
2017-03-20,2.1662352,191.256905808,24.9977629422068,7.65096085798452
2017-01-10,2.14924512,189.7568516448,24.935248094749,7.60998450561877
2018-03-29,2.12942336,188.0067884544,24.861886655454,7.56204832963297
2017-03-25,2.08411648,184.0066440192,24.6924369688071,7.45194345344073
2017-03-26,1.99916608,176.5063732032,24.3678214506135,7.24342032630726
2016-03-07,1.92837408,170.2561475232,24.0900438468419,7.06749014678608
2017-03-27,1.91704736,169.2561114144,24.0449570424997,7.03915216464053
2018-01-11,1.89439392,167.2560391968,23.9542354687693,6.98231590045371
2018-03-30,1.85758208,164.0059218432,23.8052216644697,6.88949358064521
2018-03-03,1.83776032,162.2558586528,23.724147880012,6.83927024369559
2018-03-16,1.83209696,161.7558405984,23.700874472806,6.82488913158018
2017-03-28,1.82077024,160.7558044896,23.6541800519645,6.7960844187558
2017-03-29,1.7556416,155.005596864,23.3817690297154,6.62933573020102
2017-01-14,1.74997824,154.5055788096,23.3577574286871,6.61474370051649
2018-03-31,1.70183968,150.2554253472,23.151487019617,6.49009824811181
2017-03-30,1.6706912,147.505326048,23.0158886921481,6.40884773214609
2016-03-11,1.65936448,146.5052899392,22.9661528421632,6.37918291958038
2017-03-31,1.58007744,139.5050371776,22.6113495665839,6.16969087876854
2016-02-02,1.56025568,137.7549739872,22.520758698856,6.11679987469507
2016-03-08,1.54892896,136.7549378784,22.4686396257885,6.0864805415918
2018-04-01,1.54892896,136.7549378784,22.4686396257885,6.0864805415918
2016-03-12,1.53477056,135.5048927424,22.4031239648538,6.04848203112125
2017-04-01,1.53477056,135.5048927424,22.4031239648538,6.04848203112125
2016-03-13,1.49512704,132.0047663616,22.2174594527429,5.94148789344602
2018-03-04,1.46681024,129.5046760896,22.0827762714078,5.86451062574408
2018-04-02,1.46681024,129.5046760896,22.0827762714078,5.86451062574408
2017-04-02,1.44982016,128.0046219264,22.0011132457675,5.81809749790842
2018-03-17,1.44698848,127.7546128992,21.9874393809188,5.81034520145479
2017-04-03,1.37902816,121.7543962464,21.6536453027501,5.6228129048986
2018-04-03,1.35354304,119.5043150016,21.5255808817965,5.55173473170524
2017-04-04,1.33372128,117.7542518112,21.424833588584,5.49615712646393
2017-01-15,1.29124608,114.0041164032,21.2054566311573,5.37616889775875
2017-04-05,1.26859264,112.0040441856,21.0864377108741,5.31166267727813
2017-04-08,1.26859264,112.0040441856,21.0864377108741,5.31166267727813
2018-04-04,1.2459392,110.003971968,20.965960343343,5.24678908891135
2017-04-06,1.22894912,108.5039178048,20.8746182937371,5.19788751477932
2018-03-18,1.22045408,107.7538907232,20.8286240318115,5.17335617363046
2017-04-07,1.20912736,106.7538546144,20.7669574534802,5.14056307254145
2017-04-09,1.19496896,105.5038094784,20.6893176861242,5.09943397259343
2018-04-05,1.1893056,105.003791424,20.6580861026745,5.08293899551546
2018-01-12,1.18081056,104.2537643424,20.6110479838388,5.05814961103121
2018-03-14,1.16665216,103.0037192064,20.5321355894834,5.01670752939888
2017-04-10,1.132672,100.00361088,20.3400439091399,4.91658775795773
2018-04-06,1.12417696,99.2535837984,20.2914083131827,4.89140932292601
2017-04-11,1.09869184,97.0035025536,20.14398074424,4.81550810563286
2018-04-07,1.0901968,96.253475472,20.0943203141599,4.79008366379892
2016-03-09,1.08736512,96.0034664448,20.0777082055229,4.78159486441743
2016-03-14,1.08170176,95.5034483904,20.0443952682754,4.76459614331968
2017-04-12,1.07037504,94.5034122816,19.9774108473369,4.73051352869373
2017-04-13,1.05055328,92.7533490912,19.8590153792721,4.67059153335525
2018-04-08,1.0477216,92.503340064,19.8419776968329,4.6620020180128
2018-03-19,1.04205824,92.0033220096,19.807807887723,4.64480080436485
2017-04-14,1.00807808,89.0032136832,19.6000828997537,4.54096108360431
2017-01-16,0.9769296,86.253114384,19.4054304695951,4.44479263261609
2018-04-09,0.9769296,86.253114384,19.4054304695951,4.44479263261609
2017-04-15,0.97126624,85.7530963296,19.3695860321873,4.42720335824939
2017-04-19,0.96560288,85.2530782752,19.333598768167,4.40958143889746
2018-03-05,0.95710784,84.5030511936,19.2793469777369,4.38308679703628
2017-04-18,0.95144448,84.0030331392,19.2429964212975,4.3653821525544
2018-03-20,0.9344544,82.502978976,19.13305155607,4.31206588944907
2017-04-16,0.93162272,82.2529699488,19.1145951675274,4.30314998711218
2018-04-10,0.93162272,82.2529699488,19.1145951675274,4.30314998711218
2017-04-17,0.91463264,80.7529157856,19.0030456213443,4.24947228958384
2017-04-20,0.90896928,80.2528977312,18.9655485783409,4.23150943405089
2018-04-11,0.90896928,80.2528977312,18.9655485783409,4.23150943405089
2018-04-12,0.88065248,77.7528074592,18.7756340766021,4.1411548149042
2017-04-27,0.85233568,75.2527171872,18.5815079062273,4.04987138648637
2018-03-13,0.85233568,75.2527171872,18.5815079062273,4.04987138648637
2017-05-07,0.849504,75.00270816,18.5618546631406,4.04069041166115
