Date,Total Q cms,SP,w_est,unit_SP
2016-11-01,0.43041536,20.90075467392,12.4562644899001,1.67793118802727
2017-09-04,0.43041536,20.90075467392,12.4562644899001,1.67793118802727
2018-05-20,0.43041536,20.90075467392,12.4562644899001,1.67793118802727
2018-06-09,0.43041536,20.90075467392,12.4562644899001,1.67793118802727
2015-11-18,0.42758368,20.76324970896,12.4201402320631,1.67174036049599
2017-08-11,0.42758368,20.76324970896,12.4201402320631,1.67174036049599
2018-05-18,0.42758368,20.76324970896,12.4201402320631,1.67174036049599
2015-09-30,0.424752,20.625744744,12.3838817534804,1.66553146699768
2016-05-24,0.424752,20.625744744,12.3838817534804,1.66553146699768
2016-08-08,0.424752,20.625744744,12.3838817534804,1.66553146699768
2016-10-04,0.424752,20.625744744,12.3838817534804,1.66553146699768
2016-10-25,0.424752,20.625744744,12.3838817534804,1.66553146699768
2017-08-26,0.424752,20.625744744,12.3838817534804,1.66553146699768
2017-09-27,0.424752,20.625744744,12.3838817534804,1.66553146699768
2018-05-19,0.424752,20.625744744,12.3838817534804,1.66553146699768
2018-06-06,0.424752,20.625744744,12.3838817534804,1.66553146699768
2018-06-12,0.424752,20.625744744,12.3838817534804,1.66553146699768
2015-09-13,0.42192032,20.48823977904,12.3474876556267,1.65930433384185
2015-10-01,0.42192032,20.48823977904,12.3474876556267,1.65930433384185
2015-12-03,0.42192032,20.48823977904,12.3474876556267,1.65930433384185
2016-10-19,0.42192032,20.48823977904,12.3474876556267,1.65930433384185
2017-10-06,0.42192032,20.48823977904,12.3474876556267,1.65930433384185
2017-10-10,0.42192032,20.48823977904,12.3474876556267,1.65930433384185
2017-10-26,0.42192032,20.48823977904,12.3474876556267,1.65930433384185
2015-10-20,0.41908864,20.35073481408,12.3109565159024,1.65305878448944
2015-10-22,0.41908864,20.35073481408,12.3109565159024,1.65305878448944
2016-02-24,0.41908864,20.35073481408,12.3109565159024,1.65305878448944
2016-02-29,0.41908864,20.35073481408,12.3109565159024,1.65305878448944
2016-05-25,0.41908864,20.35073481408,12.3109565159024,1.65305878448944
2016-12-08,0.41908864,20.35073481408,12.3109565159024,1.65305878448944
2017-09-03,0.41908864,20.35073481408,12.3109565159024,1.65305878448944
2017-10-27,0.41908864,20.35073481408,12.3109565159024,1.65305878448944
2018-06-14,0.41908864,20.35073481408,12.3109565159024,1.65305878448944
2015-11-20,0.41625696,20.21322984912,12.2742868870541,1.64679463948649
2017-08-22,0.41625696,20.21322984912,12.2742868870541,1.64679463948649
2017-09-23,0.41625696,20.21322984912,12.2742868870541,1.64679463948649
2017-10-13,0.41625696,20.21322984912,12.2742868870541,1.64679463948649
2015-09-11,0.41342528,20.07572488416,12.2374772965754,1.64051171639583
2015-10-25,0.41342528,20.07572488416,12.2374772965754,1.64051171639583
2016-08-06,0.41342528,20.07572488416,12.2374772965754,1.64051171639583
2016-11-02,0.41342528,20.07572488416,12.2374772965754,1.64051171639583
2018-06-01,0.41342528,20.07572488416,12.2374772965754,1.64051171639583
2018-06-24,0.41342528,20.07572488416,12.2374772965754,1.64051171639583
2016-04-20,0.4105936,19.9382199192,12.200526246091,1.63420982972666
2018-06-08,0.4105936,19.9382199192,12.200526246091,1.63420982972666
2015-10-12,0.40493024,19.66320998928,12.1261936384168,1.62154840798396
2016-02-25,0.40493024,19.66320998928,12.1261936384168,1.62154840798396
2016-05-17,0.40493024,19.66320998928,12.1261936384168,1.62154840798396
2016-08-10,0.40493024,19.66320998928,12.1261936384168,1.62154840798396
2017-08-17,0.40493024,19.66320998928,12.1261936384168,1.62154840798396
2017-09-22,0.40493024,19.66320998928,12.1261936384168,1.62154840798396
2018-06-15,0.40493024,19.66320998928,12.1261936384168,1.62154840798396
2015-07-26,0.40209856,19.52570502432,12.0888089492997,1.61518848599647
2015-10-26,0.40209856,19.52570502432,12.0888089492997,1.61518848599647
2016-10-23,0.40209856,19.52570502432,12.0888089492997,1.61518848599647
2016-12-10,0.40209856,19.52570502432,12.0888089492997,1.61518848599647
2017-08-28,0.40209856,19.52570502432,12.0888089492997,1.61518848599647
2017-10-07,0.40209856,19.52570502432,12.0888089492997,1.61518848599647
2018-06-07,0.40209856,19.52570502432,12.0888089492997,1.61518848599647
2018-06-13,0.40209856,19.52570502432,12.0888089492997,1.61518848599647
2016-09-06,0.39926688,19.38820005936,12.0512765349451,1.60880882644589
2017-10-19,0.39926688,19.38820005936,12.0512765349451,1.60880882644589
2015-10-23,0.3964352,19.2506950944,12.0135947576688,1.60240922743889
2016-04-17,0.3964352,19.2506950944,12.0135947576688,1.60240922743889
2016-10-22,0.3964352,19.2506950944,12.0135947576688,1.60240922743889
2016-12-09,0.3964352,19.2506950944,12.0135947576688,1.60240922743889
2017-09-17,0.3964352,19.2506950944,12.0135947576688,1.60240922743889
2017-10-18,0.3964352,19.2506950944,12.0135947576688,1.60240922743889
2016-04-16,0.39360352,19.11319012944,11.9757619497797,1.5959894835578
2016-05-05,0.39360352,19.11319012944,11.9757619497797,1.5959894835578
2016-11-06,0.39360352,19.11319012944,11.9757619497797,1.5959894835578
2017-08-27,0.39360352,19.11319012944,11.9757619497797,1.5959894835578
2017-09-24,0.39360352,19.11319012944,11.9757619497797,1.5959894835578
2016-11-17,0.39077184,18.97568516448,11.9377764128096,1.58954938577326
2017-08-10,0.39077184,18.97568516448,11.9377764128096,1.58954938577326
2018-06-17,0.39077184,18.97568516448,11.9377764128096,1.58954938577326
2015-10-27,0.38794016,18.83818019952,11.8996364167179,1.58308872135405
2015-11-21,0.38794016,18.83818019952,11.8996364167179,1.58308872135405
2016-10-18,0.38794016,18.83818019952,11.8996364167179,1.58308872135405
